greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,2048,4.778893781745e-16,2.1860681100425484e-08,1.1979859762649775e-08,2.6158487692606865e-08,9.103634506013587e-08,3.029629700446179e-07
gamma,2048,3.9006768470315657e-14,1.9750131257871592e-07,9.354978749411604e-08,1.715880443509121e-07,7.696345464403e-07,3.3677546316113194e-06
vega,2048,1.2233698260871751e-17,3.4976704048368755e-09,2.867670477312797e-09,5.9212669989427975e-09,8.757959924221569e-09,9.605072209817322e-09
theta,2048,9.673652544916995e-16,3.110249595276398e-08,4.711586317889377e-09,1.3320187425280832e-09,1.0162443100425466e-07,6.858141998467016e-07
rho,2048,1.176400112403001e-14,1.0846198008532764e-07,9.429107189723124e-08,1.744022098737474e-07,2.407709779284062e-07,2.6128031915817473e-07
