key,label,role,metric_focus,run_dir,price_n_points,hard_price_n_points,price_rmse,hard_price_rmse,non_hard_price_rmse,short_maturity_price_rmse,atm_price_rmse,hard_p99_gamma_error,pde_residual_rmse,hard_pde_residual_rmse,training_time_seconds,best_val_total,delta_rmse,hard_delta_rmse,delta_p99_abs_error,gamma_rmse,hard_gamma_rmse,gamma_p99_abs_error,vega_rmse,hard_vega_rmse,vega_p99_abs_error,theta_rmse,hard_theta_rmse,theta_p99_abs_error,rho_rmse,hard_rho_rmse,rho_p99_abs_error,comparison_grid_ok,ratio_delta_rmse,ratio_gamma_rmse,ratio_vega_rmse,ratio_theta_rmse,ratio_rho_rmse,ratio_hard_delta_rmse,ratio_hard_gamma_rmse,ratio_hard_p99_gamma_error,ratio_price_rmse,ratio_hard_price_rmse,ratio_non_hard_price_rmse,ratio_short_maturity_price_rmse,ratio_atm_price_rmse,global_score,hard_score,price_score,status
abl00_baseline,Baseline,baseline,greeks,/Users/jenriquezafra/Proyectos/Dev/python/TFM/TFM/outputs/pinn/pinn_greek_ablation_suite_v01/abl00_baseline,961.0,5.0,0.0975819510717437,0.1131606575973787,,0.0769932127729777,0.1111035408207638,28.741722099271573,0.0573009952223072,0.0574618763314167,1.4098647499922663,0.15111525356769562,0.2730935638549079,0.3603023474926513,0.4987646099996192,2.408529307311266,17.317375940735396,5.700983882381524,0.5559630404681883,0.7678117874836033,0.8594861763674946,0.03914211750887,0.2969380370703605,0.0802352864269771,13.938372553372586,13.154017283492728,14.922691993460903,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,baseline
abl13_log_core_acv_pricing,Log core ACV pricing,ablation,pricing,/Users/jenriquezafra/Proyectos/Dev/python/TFM/TFM/outputs/pinn/pinn_greek_ablation_suite_v01/abl13_log_core_acv_pricing,32761.0,135.0,0.0558364822889904,0.0020943761427631,0.0559517210570238,0.0011916733091802,0.0586697717311046,5.446170227662079,0.0855420152809277,0.0885769903086955,3715.3417378329905,0.00017644217587076128,0.0727421779672372,0.0147586163564192,0.1745849422439539,2.878466337177555,2.0956123336587917,7.217668071069862,0.0829543598570986,0.0040583089609464,0.2208560950193993,0.047668677480989,0.0686782007423523,0.0730773064111946,0.0384586237641746,0.0004244892766586,0.0761869336729065,False,,,,,,,,,,,,,,,,,incompatible_grid
abl14_acv_log_learned_weights,ACV log-learned loss weights,ablation,pricing,/Users/jenriquezafra/Proyectos/Dev/python/TFM/TFM/outputs/pinn/pinn_greek_ablation_suite_v01/abl14_acv_log_learned_weights,32761.0,135.0,0.043731064829485,0.0013785883896241,0.0438213569953831,0.0008608902528204,0.0463569718437605,7.225058749613422,0.0640857755853535,0.0721667496169193,5964.663002957939,-11.892345428466797,0.0657056821216675,0.0121939863764737,0.176371527627134,2.1803816009266197,2.4732865759023652,6.356790117874602,0.0946324041041718,0.0059290603488876,0.2079905926376911,0.040021251996228,0.0455672519777992,0.0479327719036749,0.0392601275254739,0.0012203974070709,0.1157861130827572,False,,,,,,,,,,,,,,,,,incompatible_grid
