parameter,theta_true,theta_hat,abs_error,rel_error
rho,-0.45,-0.5250830639487591,0.07508306394875913,0.16685125321946473
kappa,1.0,1.0510002664539555,0.0510002664539555,0.0510002664539555
gamma,0.35,0.29891967148098786,0.05108032851901212,0.14594379576860605
bar_v,0.2,0.19758498987222206,0.00241501012777795,0.01207505063888975
v0,0.22,0.21966553580923304,0.0003344641907669643,0.0015202917762134741
