greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,2048,4.714450332345582e-16,2.1712785017923384e-08,3.969315050918597e-09,3.1341284401076306e-09,5.089232464006143e-08,6.361786811237558e-07
gamma,2048,4.639288666824473e-13,6.811232389828197e-07,1.0165690092176852e-07,9.900318613809133e-08,1.3308312886151766e-06,1.754571166512342e-05
vega,2048,5.922970982039123e-21,7.696084057518552e-11,6.279224453069445e-11,1.36334132178062e-10,1.7606069643849586e-10,1.8231714749017414e-10
theta,2048,3.066050967691433e-10,1.7510142682718017e-05,8.059077617071297e-07,9.196649539133792e-10,4.4863953609808153e-07,0.0005504530802409313
rho,2048,1.0780798609179228e-16,1.0383062462096253e-08,8.722215604724835e-09,1.6145766656983086e-08,1.7979417149538435e-08,1.839108032530845e-08
