region,variable,n_points,mse,rmse,mae,r2,mape_pct,p90_abs_error,p99_abs_error,max_abs_error,mean_stabilized_rel_error
full,price,32761,0.0004808615383715486,0.021928555318842795,0.01675535577698651,0.8333105756178926,224.5800573458211,0.039660012902040576,0.06113571335261467,0.07658673471854865,
full,delta,32761,0.06102819428213097,0.24703885176654092,0.18572308339718505,0.1143617929379881,460.05535678706184,0.43695244064602273,0.591639002186822,0.7689736737312931,0.11486966067249105
full,gamma,32761,3.3495771265387857,1.8301849979001537,1.263935803166197,-1.1536491701522373,5414.374887647358,2.184104562190422,5.270098566077262,55.72730726643624,0.40252485571812646
full,vega,32761,0.050379839059454215,0.22445453673172708,0.2084926627388253,-3.5210074792169026,193.06758199463528,0.3069923490948033,0.3478229576243495,0.35348039275757287,0.15598770933892148
full,theta,32761,0.008259641150401141,0.09088256791267037,0.016305789851951802,-14.804901914340329,486.21172875300465,0.023830455273051027,0.15521109274137693,3.657496512160762,0.015566989090719175
full,rho,32761,0.03887772843447361,0.19717436048957687,0.14318378440274512,0.6904120898089725,136.32093787209297,0.3597989709985844,0.5265071441069998,0.6039313179966743,0.08492902070543838
full,pde_residual,32761,0.007219048911430131,0.08496498638515827,0.016686533693880474,,,0.014887953941571644,0.06674547941879845,3.5353248392700083,
short_maturity,price,905,0.001098248202737377,0.03313982804326807,0.028076281882164416,0.7316950658074783,5228.280935424744,0.05456687369517003,0.07372131395110738,0.07658673471854865,
short_maturity,delta,905,0.18742708773425412,0.4329285018732933,0.3683398674066735,0.09190272522019338,14912.81408499976,0.6496105032534886,0.7570358474314927,0.7689736737312931,0.2263688088573604
short_maturity,gamma,905,46.65189542953932,6.830219281219258,3.670301027176809,-1.2519027757100223,153288.13135829923,9.219459157658926,25.080523796959714,55.72730726643624,1.1702014291680218
short_maturity,vega,905,0.0053096941376316155,0.0728676480863189,0.04580923253445945,-0.7453844929774764,3812.0134101794624,0.14694647434308625,0.2145538915994597,0.22063102273732071,0.04180014736970874
short_maturity,theta,905,0.28841211772780556,0.537040145359549,0.2474088467877243,-34.27616250372122,14613.532044229452,0.70467766626722,3.0065824654743456,3.657496512160762,0.23561381512325116
short_maturity,rho,905,0.0007747221660389785,0.027833831321594563,0.020612745300305862,-2.064304618982711,3400.5341827745006,0.050589248326458794,0.07961671569336722,0.08016326263235708,0.020318600826907427
short_maturity,pde_residual,905,0.25618626927425936,0.506148465644478,0.19088403222227615,,,0.5723484723756563,2.895729942831254,3.5353248392700083,
atm,price,4887,0.00011389824228810822,0.010672311946720272,0.006914740915128058,0.786008361829615,45.854698928781595,0.017853338991502463,0.03826060152192484,0.04702542945211036,
atm,delta,4887,0.021513637801638272,0.1466752801314464,0.13737856730653475,-3.9315897251206255,34.82974675789441,0.17817792471419366,0.33113564478798185,0.7580371247493523,0.09741607672565701
atm,gamma,4887,10.958604868209873,3.3103783572591627,1.9637159496774972,-1.5639758094436167,67.1572961039261,3.3899580619251264,11.093844414310334,55.72730726643624,0.46825821447736965
atm,vega,4887,0.08419180899599273,0.29015824819569186,0.28625953128607196,-20.94736672735289,76.5175505877052,0.344654116685058,0.3526174993725511,0.35348039275757287,0.20633651104390363
atm,theta,4887,0.0037062231612154405,0.06087875788167364,0.0238089039039113,-1.2320439783354855,34.333210663806454,0.054233593477778584,0.21276870387148525,1.0329811637436328,0.021199066744184526
atm,rho,4887,0.008995292848244543,0.09484351769227321,0.08880278600572651,0.875904631592012,36.32443515679377,0.13468679886318127,0.16487811377724693,0.18111093937329947,0.05997194805211166
atm,pde_residual,4887,0.00031149791565937687,0.017649303546014978,0.013074518697083776,,,0.015482828086478068,0.01800501402866256,0.6324294610648116,
hard,price,135,0.0013460932512081648,0.03668914350605864,0.03636929158180048,-15.01061928498266,1104.3053820464809,0.04201575470100682,0.04689977495819447,0.04702542945211036,
hard,delta,135,0.09754552484607133,0.31232278950802056,0.245853862218791,-0.8357927060152401,71.67529689951031,0.49258566385558744,0.7504591874827863,0.7580371247493523,0.15663068787008252
hard,gamma,135,257.80876987078517,16.05642456684505,12.356312645283557,-9.42461403877908,98.90244112504591,18.99944464606315,54.4731445326066,55.72730726643624,0.9049223275076058
hard,vega,135,0.025022927729944834,0.15818637024075377,0.14994196996865938,-6.505138644664878,133.4691274798233,0.20768559902632466,0.2204214699343967,0.22063102273732071,0.13074910659191402
hard,theta,135,0.10200221534316431,0.3193778566888511,0.2552104922297458,-9.329431611350156,112.20722608950754,0.42193655422041687,1.0159983959439687,1.0329811637436328,0.20096794709384577
hard,rho,135,0.0002702605177269963,0.0164396021158359,0.015583762116656878,-2.141446657925581,342.02621083536957,0.02312932771726673,0.024324276412842686,0.024334780413488986,0.015346957905249708
hard,pde_residual,135,0.005372056850647035,0.07329431663264918,0.0276263583400667,,,0.059137093508406444,0.35040983845459295,0.6324294610648116,
