region,model,n,price,price_mae,price_p90_abs,price_p99_abs,delta,delta_mae,delta_p90_abs,delta_p99_abs,gamma,gamma_mae,gamma_p90_abs,gamma_p99_abs,vega,vega_mae,vega_p90_abs,vega_p99_abs,theta,theta_mae,theta_p90_abs,theta_p99_abs,rho,rho_mae,rho_p90_abs,rho_p99_abs
general,PINN_ACV_log_learned_weights,961,0.04395364629690821,0.03673454753043251,0.07098212757364045,0.08149591485212059,0.06718428840300125,0.05412000137171419,0.1110591759263897,0.18055968238596573,2.202793601646534,1.6414124677632942,3.820862846201132,6.6147462773324985,0.09540805700506975,0.07913583366598713,0.14892112623760956,0.20757464754199806,0.04102527065964718,0.04010031476358078,0.045096485759311,0.06731663520635858,0.04031852176706234,0.028265842076543618,0.0706210743478844,0.12071919896454904
general,ANN_IV_Sobolev_v01,961,0.0001896687697203258,0.00016190787561412275,0.0002936111392437962,0.0003108063811274431,0.0032733818695250927,0.0011436285988849178,0.0012285114394258168,0.02081820277144907,0.49624179939317475,0.08830280949636654,0.02431863286266367,3.210201462331512,0.004992478103815072,0.003594415277976854,0.008591912743807198,0.015665632503261345,0.009504268988254062,0.0017405542926530238,0.0006001224383938644,0.0635468597286718,0.0008761684524726746,0.0006639215580864445,0.0015911821074257593,0.0020627940210440785
kink,PINN_ACV_log_learned_weights,441,0.0013455113174424922,0.0011869739013871143,0.0020686297991128304,0.00242029398616336,0.012728688618653276,0.010753242621227474,0.020310955237478112,0.025465602432183997,2.6194106662398635,2.173312474804637,3.973703269046462,6.844804802389779,0.005947704404603995,0.004781930037285076,0.010047376292243726,0.013737061151283028,0.0468372320315273,0.04536477740599693,0.05315414603842336,0.09979189450843892,0.0012539847825200098,0.0008414574853567831,0.002317035318132394,0.0034504791672880977
kink,ANN_IV_Sobolev_v01,441,5.5282131542685765e-05,4.4151902772846365e-05,9.250274508424208e-05,0.0001249547171033018,0.003742440547279761,0.0016545591327334034,0.0022556047582302785,0.020037422575140323,0.5470410687784305,0.17996171493270396,0.33638209230903016,3.171528263996388,0.006653934726619629,0.006157426638657216,0.009394351325669903,0.010354187249534009,0.011002066127313552,0.005014486970327149,0.005817955079044035,0.061202750453053345,0.00028910772231663964,0.00027569114199517083,0.0003817450753979927,0.0004061839939359685
no_kink,PINN_ACV_log_learned_weights,956,0.04406843560875613,0.03692586954670529,0.07100622319168694,0.08150831918943378,0.06734674646413354,0.05432293785849702,0.11119426652328163,0.1805635982998037,2.1922541974104433,1.6341000354910074,3.8066210327861194,6.618000104495646,0.09565600797719631,0.07951761580163488,0.1490482018733039,0.20760903577851225,0.04077028261570229,0.03994808566059928,0.04506404931871408,0.0582182411691576,0.04042381382785583,0.028412411549579936,0.07083665902584976,0.12080701771476235
no_kink,ANN_IV_Sobolev_v01,956,0.00019005943700909597,0.00016231885033565543,0.0002937270389379368,0.00031080668002453555,0.003044176777621295,0.0010665676532669644,0.0012097459578564451,0.020270932832072517,0.47281531811905314,0.07833577571668017,0.02271129434035741,3.040494923117714,0.004988505129224538,0.0035886257554487953,0.008591562164416078,0.015679017682242467,0.0090339919578768,0.0015410936472133995,0.0005967362935554131,0.06064951528839929,0.0008784016513780203,0.0006667069935631247,0.0015916081439641683,0.0020633537442063758
