region_source,tau,moneyness,v,rho,kappa,gamma,bar_v,r,ref_price,ref_delta,ref_gamma,ref_vega,ref_theta,ref_rho,ANN_IV_Sobolev_v01_price,ANN_IV_Sobolev_v01_price_error,ANN_IV_Sobolev_v01_price_abs_error,ANN_IV_Sobolev_v01_delta,ANN_IV_Sobolev_v01_delta_error,ANN_IV_Sobolev_v01_delta_abs_error,ANN_IV_Sobolev_v01_gamma,ANN_IV_Sobolev_v01_gamma_error,ANN_IV_Sobolev_v01_gamma_abs_error,ANN_IV_Sobolev_v01_vega,ANN_IV_Sobolev_v01_vega_error,ANN_IV_Sobolev_v01_vega_abs_error,ANN_IV_Sobolev_v01_theta,ANN_IV_Sobolev_v01_theta_error,ANN_IV_Sobolev_v01_theta_abs_error,ANN_IV_Sobolev_v01_rho,ANN_IV_Sobolev_v01_rho_error,ANN_IV_Sobolev_v01_rho_abs_error,PINN_ACV_log_learned_weights_price,PINN_ACV_log_learned_weights_price_error,PINN_ACV_log_learned_weights_price_abs_error,PINN_ACV_log_learned_weights_delta,PINN_ACV_log_learned_weights_delta_error,PINN_ACV_log_learned_weights_delta_abs_error,PINN_ACV_log_learned_weights_gamma,PINN_ACV_log_learned_weights_gamma_error,PINN_ACV_log_learned_weights_gamma_abs_error,PINN_ACV_log_learned_weights_vega,PINN_ACV_log_learned_weights_vega_error,PINN_ACV_log_learned_weights_vega_abs_error,PINN_ACV_log_learned_weights_theta,PINN_ACV_log_learned_weights_theta_error,PINN_ACV_log_learned_weights_theta_abs_error,PINN_ACV_log_learned_weights_rho,PINN_ACV_log_learned_weights_rho_error,PINN_ACV_log_learned_weights_rho_abs_error
full_grid,0.005,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.2000374760368316,-0.977949271688185,-3.5081757612189683,-0.0049504543697481,0.0442596013221178,-0.0049119844669368,0.19995000124997908,-8.747478685253163e-05,8.747478685253163e-05,-1.0,-0.022050728311814982,0.022050728311814982,0.0,3.5081757612189683,3.5081757612189683,0.0,0.0049504543697481,0.0049504543697481,0.00999950001249979,-0.03426010130961801,0.03426010130961801,-0.004999750006249895,-8.776553931309512e-05,8.776553931309512e-05,0.19994813740442674,-8.933863240487283e-05,8.933863240487283e-05,-1.0000049280009493,-0.022055656312764294,0.022055656312764294,-0.0012373376545724705,3.506938423564396,3.506938423564396,-1.1050748051080502e-05,0.00493940362169702,0.00493940362169702,0.010459937496182039,-0.03379966382593576,0.03379966382593576,-0.004999733392476224,-8.774892553942409e-05,8.774892553942409e-05
full_grid,0.0715,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1992852410611592,-0.99999975369751,4.5870716584360365e-06,1.2640144842465862e-07,0.0099927789497734,-0.0714488806473704,0.1992852558195245,1.475836530762109e-08,1.475836530762109e-08,-0.999999991725124,-2.3802761395241845e-07,2.3802761395241845e-07,8.44951471123131e-06,3.862443052795274e-06,3.862443052795274e-06,4.520501868589349e-08,-8.119642973876513e-08,8.119642973876513e-08,0.0099928714355885,9.248581510010179e-08,9.248581510010179e-08,-0.07144888554931723,-4.901946834556803e-09,4.901946834556803e-09,0.19927617734003777,-9.06372112141618e-06,9.06372112141618e-06,-1.000016727197806,-1.697350029594702e-05,1.697350029594702e-05,0.0014253340540755844,0.0014207469824171484,0.0014207469824171484,-0.0004246168289179517,-0.00042474323036637636,0.00042474323036637636,0.010190633327778425,0.00019785437800502563,0.00019785437800502563,-0.07136324207042126,8.563857694914023e-05,8.563857694914023e-05
full_grid,0.138,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1986216569417291,-0.9999258285386748,0.0072146983630805,0.0001634097644989,0.0099406345009288,-0.1378016001286283,0.19862177479163257,1.1784990347485369e-07,1.1784990347485369e-07,-0.9999122476630223,1.3580875652507984e-05,1.3580875652507984e-05,0.008655306701858342,0.001440608338777842,0.001440608338777842,0.00018842923439128386,2.501946989238386e-05,2.501946989238386e-05,0.009935766274329374,-4.868226599426609e-06,4.868226599426609e-06,-0.13780063830202183,9.61826606471483e-07,9.61826606471483e-07,0.19867031095958937,4.86540178602779e-05,4.86540178602779e-05,-0.9935163838658811,0.006409444672793696,0.006409444672793696,0.040357996315697885,0.03314329795261738,0.03314329795261738,0.010875551337604114,0.010712141573105214,0.010712141573105214,0.0057286637381298005,-0.004211970762799,0.004211970762799,-0.1369401334886464,0.000861466639981906,0.000861466639981906
full_grid,0.2045,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1979705979495881,-0.9990032875101336,0.0683199099686455,0.0021160493489318,0.0095603733622976,-0.2039219251173486,0.19797097749564552,3.795460574163023e-07,3.795460574163023e-07,-0.9989579194009537,4.5368109179877436e-05,4.5368109179877436e-05,0.07280078108893476,0.004480871120289262,0.004480871120289262,0.0021909355758116585,7.488622687985835e-05,7.488622687985835e-05,0.00956184065931441,1.46729701681024e-06,1.46729701681024e-06,-0.20391461521052764,7.309906820962553e-06,7.309906820962553e-06,0.19872268933203657,0.0007520913824484721,0.0007520913824484721,-0.9687629040252016,0.030240383484931965,0.030240383484931965,-1.5048169993063858,-1.5731369092750314,1.5731369092750314,0.04702562367165822,0.044909574322726416,0.044909574322726416,-0.005667120406371634,-0.015227493768669234,0.015227493768669234,-0.19822147871571416,0.005700446401634446,0.005700446401634446
full_grid,0.271,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.197361047071733,-0.9960482869637068,0.2115367198067304,0.008047816916587,0.0086976477528954,-0.2694281123701712,0.19736067706391658,-3.7000781641371994e-07,3.7000781641371994e-07,-0.9959705271209609,7.775984274593917e-05,7.775984274593917e-05,0.22144946000501292,0.009912740198282532,0.009912740198282532,0.008169987036774986,0.00012217012018798587,0.00012217012018798587,0.008717438559206736,1.979080631133584e-05,1.979080631133584e-05,-0.2694060533903212,2.2058979850025917e-05,2.2058979850025917e-05,0.19960734448733658,0.0022462974156035875,0.0022462974156035875,-0.9393878775118367,0.05666040945187012,0.05666040945187012,-2.407030245357528,-2.6185669651642582,2.6185669651642582,0.07223094769563293,0.06418313077904593,0.06418313077904593,-0.014761656213598939,-0.023459303966494337,0.023459303966494337,-0.25424638916831865,0.01518172320185257,0.01518172320185257
full_grid,0.3375,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1968218015052194,-0.9905798781182044,0.4159851974853303,0.0183629275376872,0.0074748784825685,-0.3338839250999267,0.19681999123574956,-1.8102694698540756e-06,1.8102694698540756e-06,-0.990412463446767,0.00016741467143732702,0.00016741467143732702,0.4339380439162026,0.017952846430872305,0.017952846430872305,0.018585030993086418,0.00022210345539921614,0.00022210345539921614,0.007494835335237518,1.9956852669018518e-05,1.9956852669018518e-05,-0.33382542184592484,5.8503254001862626e-05,5.8503254001862626e-05,0.2007643191666667,0.003942517661447292,0.003942517661447292,-0.8883318806031836,0.10224799751502078,0.10224799751502078,2.2462896174526144,1.830304419967284,1.830304419967284,0.1359837750553826,0.11762084751769539,0.11762084751769539,-0.0263043994803655,-0.033779277962934,0.033779277962934,-0.3069251293106835,0.026958795789243206,0.026958795789243206
full_grid,0.404,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1963711962784933,-0.9827397405928086,0.649650414209578,0.0321580650090039,0.0060560632211122,-0.396955447456107,0.1963684125048959,-2.7837735974145517e-06,2.7837735974145517e-06,-0.9824304217436679,0.00030931884914064955,0.00030931884914064955,0.673955131499696,0.02430471729011796,0.02430471729011796,0.032479217296895666,0.00032115228789176414,0.00032115228789176414,0.006065872949729751,9.809728617551222e-06,9.809728617551222e-06,-0.3968314985187576,0.00012394893734940515,0.00012394893734940515,0.2027752060078291,0.006404009729335802,0.006404009729335802,-0.8439970517296791,0.13874268886312946,0.13874268886312946,0.8858047432089011,0.2361543289993231,0.2361543289993231,0.16658570314803617,0.13442763813903227,0.13442763813903227,-0.03392450522031605,-0.03998056844142825,0.03998056844142825,-0.35514057074497607,0.04181487671113093,0.04181487671113093
full_grid,0.4705,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1960179750052274,-0.9729316566584352,0.8869473279760314,0.0481617126907771,0.0045622972844841,-0.4584379328061945,0.19601451931503622,-3.455690191195293e-06,3.455690191195293e-06,-0.972500665188897,0.0004309914695381778,0.0004309914695381778,0.9129389037080409,0.025991575732009498,0.025991575732009498,0.048495143758372584,0.00033343106759548685,0.00033343106759548685,0.004576760848034526,1.4463563550426092e-05,1.4463563550426092e-05,-0.45823738176574536,0.0002005510404491373,0.0002005510404491373,0.20487614611280375,0.008858171107576335,0.008858171107576335,-0.8509032614260075,0.1220283952324277,0.1220283952324277,2.488629867726565,1.6016825397505334,1.6016825397505334,0.09715465400094385,0.04899294131016675,0.04899294131016675,-0.03024884366681701,-0.03481114095130111,0.03481114095130111,-0.4049742544810832,0.053463678325111286,0.053463678325111286
full_grid,0.537,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1957643005918425,-0.9616210121642548,1.1110800242607688,0.0651963890904432,0.0030725532813925,-0.5182378162435834,0.1957589856211377,-5.314970704800581e-06,5.314970704800581e-06,-0.9611549792884436,0.00046603287581115094,0.00046603287581115094,1.1343258007633565,0.023245776502587745,0.023245776502587745,0.06543366101200766,0.00023727192156446086,0.00023727192156446086,0.0031184760498692947,4.5922768476794676e-05,4.5922768476794676e-05,-0.5179809682667846,0.000256847976798813,0.000256847976798813,0.2070682185599394,0.011303917968096905,0.011303917968096905,-0.8382643604823368,0.123356651681918,0.123356651681918,-3.1307606062576925,-4.241840630518461,4.241840630518461,0.07533690506927618,0.010140515978832976,0.010140515978832976,-0.031174043282138568,-0.034246596563531066,0.034246596563531066,-0.4546707890934583,0.06356702715012513,0.06356702715012513
full_grid,0.6035,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1956081148915298,-0.94924879023617,1.3125459980257157,0.0823322738789642,0.0016367866545187,-0.5763468132630613,0.19559805767253036,-1.0057218999437456e-05,1.0057218999437456e-05,-0.9488580351425486,0.0003907550936214088,0.0003907550936214088,1.3305217721252516,0.01797577409953588,0.01797577409953588,0.08240740112774829,7.512724878408483e-05,7.512724878408483e-05,0.0017361869268082662,9.940027228956625e-05,9.940027228956625e-05,-0.5760799298230309,0.00026688344003034103,0.00026688344003034103,0.20910522541892237,0.01349711052739258,0.01349711052739258,-0.8327331394941446,0.11651565074202541,0.11651565074202541,1.5672701787888357,0.25472418076312,0.25472418076312,0.040111528775879327,-0.04222074510308488,0.04222074510308488,-0.031005392906526322,-0.03264217956104502,0.03264217956104502,-0.5052945695592461,0.07105224370381513,0.07105224370381513
