region,model,price,delta,gamma,vega,theta,rho,n
general,PINN baseline,0.0042156783367627,0.0358723558865437,1.0074125922857982,0.0639516364750739,0.0195045945048159,0.0830520338232042,961
general,ANN Sobolev,0.0001896687697203,0.003273381869525,0.4962417993931747,0.004992478103815,0.009504268988254,0.0008761684524726,961
kink,PINN baseline,0.0046720473019636,0.0751531493391451,4.106598724018961,0.0837707805939096,0.0614643994138822,0.1268080230919173,441
kink,ANN Sobolev,0.0000552821315427,0.0037424405472797,0.5470410687784305,0.0066539347266196,0.0110020661273135,0.0002891077223166,441
