region_source,tau,moneyness,v,rho,kappa,gamma,bar_v,r,ref_price,ref_delta,ref_gamma,ref_vega,ref_theta,ref_rho
full_grid,0.803,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.16091677760776946,-0.8234884462373753,2.4923729694807655,0.22324336944989454,-0.011215984078351409,-0.6846755991750731
full_grid,0.8695,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.1616860904197237,-0.8078198168432689,2.5014290339105045,0.2336365204186719,-0.01189746798741382,-0.730601493445937
full_grid,0.936,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.16249624415402142,-0.7930964507799758,2.496733727878418,0.24207488530797971,-0.01244813554545243,-0.7756606379894125
full_grid,1.0025,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.16333926443643298,-0.779266799629887,2.4819508852098675,0.24883944666610303,-0.012889152252511747,-0.8199681845658515
full_grid,1.069,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.16420846443715087,-0.7662731154361508,2.4598578246841107,0.25417966672532977,-0.013238178414179335,-0.8636214552203612
full_grid,1.1355,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.16509823136590662,-0.7540559975757763,2.4325537850182357,0.25831302872098516,-0.013509944763602025,-0.9067027333237148
full_grid,1.202,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.166003848522293,-0.7425571171566436,2.401622637078778,0.26142692736567796,-0.013716746240816619,-0.9492816959745158
full_grid,1.2685,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.16692134755916033,-0.7317207753114916,2.368257713738714,0.26368160254212647,-0.013868858047162909,-0.9914174843042012
full_grid,1.335,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.1678473860561801,-0.721494721389778,2.333356662126163,0.26521339529973353,-0.013974882360323872,-1.033160440951497
full_grid,1.4015,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.16877914611027356,-0.71183050727828,2.2975931685324458,0.2661379455932745,-0.01404203531506348,-1.0745535562719766
full_grid,1.468,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.16971425028552822,-0.702683556621367,2.261471094691196,0.26655314639287064,-0.014076383609084668,-1.1156336667600955
full_grid,1.5345,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.17065069185993664,-0.6940130642436442,2.2253653415378523,0.2665417784744639,-0.014083039196172032,-1.156432446207844
full_grid,1.601,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.17158677683215706,-0.6857817997226883,2.189552734610917,0.26617380990211925,-0.014066319404629284,-1.1969772252473434
full_grid,1.6675,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.17252107560143337,-0.6779558621103701,2.154235415871095,0.2655083750029503,-0.014029878684068268,-1.2372916696233858
full_grid,1.734,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.1734523826109412,-0.6705044152516579,2.1195586044377324,0.26459546194590355,-0.01397681713971741,-1.2773963425263264
full_grid,1.8005,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.17437968255679093,-0.6633994217439483,2.0856241183856064,0.2634773431685553,-0.013909770100463287,-1.317309171877484
full_grid,1.867,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.17530212202078133,-0.6566153861953612,2.0525006976252613,0.2621897831081639,-0.013830982192223958,-1.3570458396752598
full_grid,1.9335,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.1762189855937385,-0.6501291136908363,2.020231905608982,0.26076305543968803,-0.013742368743537377,-1.3966201073553273
full_grid,2.0,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.17712967572605598,-0.6439194863520843,1.9888421926435196,0.25922279869600906,-0.01364556682030343,-1.4360440885236134
full_grid,0.005,0.8533333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.14647240765173608,-0.9997019373709061,5.085568961807446,0.009134837624305614,-0.06215733476108741,-0.0049977569710412135
full_grid,0.07150000000000001,0.8533333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.14595325554615302,-0.9998275379744428,0.020714181597302872,0.0003220416148509084,0.009842819262266576,-0.07143846862183059
full_grid,0.138,0.8533333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.1453663090145706,-0.9942481552924738,0.3764166666792761,0.01045741043523074,0.007285486388451506,-0.13714321341125243
full_grid,0.20450000000000002,0.8533333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.14502181406458792,-0.9788725300016222,0.9684682907428019,0.037126609372000186,0.003010237420205359,-0.2004767432783579
full_grid,0.271,0.8533333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.1449597601747915,-0.9575174547513088,1.509794037021443,0.07183980502306064,-0.0010384122216063867,-0.26071319814345784
full_grid,0.3375,0.8533333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.14514384850276096,-0.9337995952855973,1.9254380054872229,0.10744733008201113,-0.004375661916249284,-0.31792033231193373
full_grid,0.404,0.8533333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.1455264888190122,-0.9097440186248074,2.2216544920543058,0.14041103830564605,-0.007027821648768808,-0.3724239194237214
full_grid,0.47050000000000003,0.8533333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.1460660757889689,-0.8863730463125039,2.4223320943991027,0.1693529649159733,-0.00911686888606584,-0.4245969575995379
full_grid,0.537,0.8533333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.14672915578388124,-0.8641686413756564,2.5510897131380688,0.193980649330193,-0.010759554785434618,-0.474790194879925
full_grid,0.6035,0.8533333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.14748930811852046,-0.8433258289038301,2.6271937786052497,0.21450603840485316,-0.01205017530044513,-0.5233113549906145
full_grid,0.67,0.8533333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.1483256618560117,-0.823887215752356,2.6653426841094685,0.23134860323622686,-0.013062024206242133,-0.5704219775963424
full_grid,0.7365,0.8533333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.14922164401544447,-0.8058157494204488,2.6764254319380356,0.24498752012311442,-0.013851802821125305,-0.616340823013139
