x_center,tau_center,delta_x,delta_tau,accepted,score,full_price_rmse,full_gamma_rmse,full_gamma_p99,hard_price_rmse,hard_delta_rmse,hard_gamma_rmse,hard_gamma_p99,near_zero_gamma_rmse,near_zero_gamma_p99,hard_pde_rmse,full_pde_rmse,combo_index
0.08,0.1,0.01,0.015,False,6893.696396922046,0.00021999732561343304,18.539230502787206,79.65874655193282,0.0001265628782722027,0.030191940742556368,17.702759579493133,75.66975174740557,22.187873446060117,81.25836296055,0.015507185870258646,0.017770389665319672,12
0.08,0.08,0.01,0.015,False,6894.210055498049,0.0002465578193106915,18.542524350568076,79.67340296255072,0.00016099271622155162,0.030216956568280055,17.71472593175411,75.63998337359867,22.202831041069718,81.22941969477473,0.016765441994545296,0.018477162239183453,11
0.06,0.08,0.01,0.015,False,6902.468399897101,0.0004776840695398742,18.573868326293667,78.98290900635773,0.00018628504488384657,0.030207840014312322,17.7016318118759,75.73913369287905,22.18517713889818,81.47377252009467,0.01819616919279501,0.03707519486302093,8
0.06,0.1,0.01,0.015,False,6902.490610389799,0.00045802250556457115,18.571809220169516,78.9656819337119,0.00014550574023454004,0.03026585825217607,17.689908004887837,75.76925648240662,22.17017781737181,81.50358914936545,0.017672233378547376,0.03703651824120968,9
0.08,0.05,0.01,0.015,False,6904.6801934331725,0.0005226550441057402,18.57671572277506,79.72056621054458,0.0005372750157963634,0.03157291376366228,17.831536862414033,75.39034578028391,22.346844706347063,80.9867008908777,0.033822566343276295,0.028900590150941378,10
0.06,0.05,0.01,0.015,False,6909.72018541403,0.0006778664181655402,18.601312715295613,79.0234642696977,0.0005652054050437899,0.03103119965298455,17.8172285368675,75.48652397448531,22.32957036729326,81.22372967938227,0.03323052739521912,0.04152435331374603,7
0.05,0.08,0.01,0.015,False,6917.712263261971,0.0006299779510235548,18.599403710010304,78.68993464925605,0.00025746390903281033,0.030879230778317262,17.684754638320904,76.01951811482333,22.15843787315243,81.6947998666018,0.02551651884953926,0.05154637764445395,5
0.05,0.1,0.01,0.015,False,6918.6665519113385,0.0006116326530499291,18.59824832042358,78.7016905926918,0.00021492402570179618,0.031100392593109732,17.67362677781068,76.05499529004237,22.143420564258328,81.6681208257915,0.025805003714283535,0.05171656566650839,6
0.05,0.05,0.01,0.015,False,6922.609117072781,0.000801610299480705,18.621582282804656,78.75289137464584,0.0006251820967277663,0.030619753022531032,17.79715946202359,75.84033568628972,22.303046862080617,81.65305061452175,0.03578636654886789,0.05360066047203374,4
0.04,0.08,0.01,0.015,False,6970.0102842121605,0.0008135536702357131,18.661308514042716,78.57897174736031,0.00047083207954127935,0.03475985469289893,17.689845719139466,76.79846262211652,22.14634174799647,81.31915890531828,0.05070174539291779,0.0712955983187744,2
0.04,0.1,0.01,0.015,False,6971.087383196449,0.0007957714984169579,18.661358434481038,78.57552689324982,0.0004325794588724022,0.03532123913612917,17.680162124456704,76.75766562476161,22.131594312897228,81.2911360489553,0.05130965123279803,0.0716066603183974,3
0.04,0.05,0.01,0.015,False,6976.075909604727,0.0009642935053532167,18.675904195960168,78.66750670437762,0.000796189996598268,0.032091729998531125,17.793601179206217,76.7280950296394,22.288849808208,81.55415068909605,0.054482891830018046,0.07142286577196179,1
