epoch,optimizer,lr,train_total,train_pde,train_dpde,train_greek_delta,train_greek_gamma,train_greek_vega,train_term,train_low,train_right,train_v_zero,train_no_arbitrage,train_curvature_bulk,val_total,val_pde,val_dpde,val_greek_delta,val_greek_gamma,val_greek_vega,val_term,val_low,val_right,val_v_zero,val_no_arbitrage,val_curvature_bulk
1,adam,0.001,26545.132008433342,50.13816476799548,0.0,0.0,0.0,0.0,11.932330512441695,13.44631790369749,0.0,0.0,26469.615617632866,0.0,2006.9803466796875,34.48407745361328,0.0,0.0,0.0,0.0,11.771662712097168,16.709640502929688,0.0,0.0,1944.0150146484375,0.0
2,adam,0.001,3589.379874229431,18.683352053165436,0.0,0.0,0.0,0.0,6.816906049847603,14.484227955341339,0.0,0.0,3549.3953206539154,0.0,639.4564819335938,12.72620964050293,0.0,0.0,0.0,0.0,3.168668746948242,12.373769760131836,0.0,0.0,611.1878051757812,0.0
3,adam,0.001,1123.4747562408447,4.60309175401926,0.0,0.0,0.0,0.0,1.332953030243516,10.668782711029053,0.0,0.0,1106.8699147701263,0.0,173.4176025390625,3.0588815212249756,0.0,0.0,0.0,0.0,0.297238826751709,9.219508171081543,0.0,0.0,160.84197998046875,0.0
4,adam,0.001,241.63582408428192,2.3641860894858837,0.0,0.0,0.0,0.0,0.13031812477856874,8.386379420757294,0.0,0.0,230.7549450993538,0.0,86863.1953125,1.0320329666137695,0.0,0.0,0.0,0.0,0.08495280146598816,7.639679908752441,0.0,0.0,86854.4375,0.0
5,adam,0.001,304.9660692214966,2.109559401869774,0.0,0.0,0.0,0.0,0.10777367884293199,9.269726902246475,0.0,0.0,293.4790140390396,0.0,263.1604309082031,0.8830245733261108,0.0,0.0,0.0,0.0,0.10824088007211685,13.570596694946289,0.0,0.0,248.59857177734375,0.0
6,adam,0.001,524.0428354740143,1.270646683871746,0.0,0.0,0.0,0.0,0.17386304074898362,14.606511652469635,0.0,0.0,507.99182176589966,0.0,255.86029052734375,0.9270917177200317,0.0,0.0,0.0,0.0,0.26415157318115234,14.891531944274902,0.0,0.0,239.7775115966797,0.0
7,adam,0.001,368.9855284690857,2.707729861140251,0.0,0.0,0.0,0.0,0.42371941450983286,14.502623677253723,0.0,0.0,351.3514497280121,0.0,176.85394287109375,1.7344552278518677,0.0,0.0,0.0,0.0,0.671498715877533,13.785421371459961,0.0,0.0,160.66256713867188,0.0
8,adam,0.001,196.86397194862366,4.839855933561921,0.0,0.0,0.0,0.0,1.161551795899868,12.866366863250732,0.0,0.0,177.99619960784912,0.0,88.52558135986328,3.621100425720215,0.0,0.0,0.0,0.0,1.641271948814392,11.892359733581543,0.0,0.0,71.370849609375,0.0
9,adam,0.001,182624441.73523808,13.807451855391264,0.0,0.0,0.0,0.0,10.403899744153023,11.632870256900787,0.0,0.0,182624406.7914647,0.0,7082.07275390625,69.79208374023438,0.0,0.0,0.0,0.0,85.5165786743164,3.130795955657959,0.0,0.0,6923.63330078125,0.0
10,adam,0.001,24535.022666931152,72.34219896793365,0.0,0.0,0.0,0.0,131.05803728103638,12.036111941561103,0.0,0.0,24319.586460113525,0.0,3232.51806640625,42.02076721191406,0.0,0.0,0.0,0.0,150.20362854003906,29.266231536865234,0.0,0.0,3011.02734375,0.0
11,adam,0.001,20970.206687927246,42.383894085884094,0.0,0.0,0.0,0.0,152.58986949920654,35.939682483673096,0.0,0.0,20739.292961120605,0.0,2881.103759765625,39.38457489013672,0.0,0.0,0.0,0.0,154.18045043945312,40.53456497192383,0.0,0.0,2647.004150390625,0.0
12,adam,0.001,20117.871688842773,40.74640667438507,0.0,0.0,0.0,0.0,154.3872194290161,41.47464442253113,0.0,0.0,19881.26356124878,0.0,2838.173828125,39.048309326171875,0.0,0.0,0.0,0.0,154.69715881347656,42.310726165771484,0.0,0.0,2602.11767578125,0.0
13,adam,0.001,20441.407470703125,39.86810839176178,0.0,0.0,0.0,0.0,154.63001537322998,42.234065771102905,0.0,0.0,20204.67562866211,0.0,2827.69384765625,38.97710037231445,0.0,0.0,0.0,0.0,154.7353973388672,42.38970947265625,0.0,0.0,2591.591552734375,0.0
14,adam,0.001,20422.457817077637,39.798218965530396,0.0,0.0,0.0,0.0,154.6401081085205,42.09023404121399,0.0,0.0,20185.929443359375,0.0,2823.3515625,38.95454788208008,0.0,0.0,0.0,0.0,154.673095703125,42.13051986694336,0.0,0.0,2587.593505859375,0.0
15,adam,0.001,20369.917541503906,40.122459292411804,0.0,0.0,0.0,0.0,154.5752296447754,41.81999230384827,0.0,0.0,20133.399780273438,0.0,2818.72509765625,38.93286895751953,0.0,0.0,0.0,0.0,154.58847045898438,41.857086181640625,0.0,0.0,2583.3466796875,0.0
16,adam,0.001,25179.587425231934,39.8392413854599,0.0,0.0,0.0,0.0,154.51887893676758,41.5373375415802,0.0,0.0,24943.69248199463,0.0,2815.048583984375,38.91822814941406,0.0,0.0,0.0,0.0,154.5128173828125,41.578914642333984,0.0,0.0,2580.03857421875,0.0
