parameter,theta_true,theta_hat,abs_error,rel_error
rho,-0.45,-0.8200755432375664,0.37007554323756636,0.8223900960834808
kappa,1.0,1.2961568282586373,0.2961568282586373,0.2961568282586373
gamma,0.35,0.20076575842714472,0.14923424157285525,0.426383547351015
bar_v,0.2,0.19444551744041894,0.005554482559581075,0.027772412797905377
v0,0.22,0.22078709848975323,0.000787098489753224,0.0035777204079692
