parameter,theta_true,theta_hat,abs_error,rel_error
rho,-0.45,-0.5250318267428677,0.07503182674286774,0.1667373927619283
kappa,1.0,1.0591821626650437,0.059182162665043725,0.059182162665043725
gamma,0.35,0.299073754038944,0.050926245961055994,0.14550355988873143
bar_v,0.2,0.19758484277591895,0.0024151572240810604,0.012075786120405302
v0,0.22,0.21968869982637135,0.0003113001736286536,0.0014150007892211526
