quantity,primary,mse,rmse,mae,mape_pct,max_abs_error
price,True,1.5093747224037093e-08,0.00012285661245548443,9.356992832747926e-05,0.2585050648695224,0.0006800719057865612
delta,True,2.379930119005341e-06,0.0015427022133274266,0.0009679556998884634,0.350200184669083,0.01321163306451989
vega,True,0.0006178005384236305,0.024855593704911385,0.010209754172703136,5.6259697328145615,0.30367079151299287
theta,True,0.00021645648073149066,0.014712460050293787,0.001826843584475628,4.056003227448771,0.19430175998399402
rho,True,5.150181892902679e-06,0.002269401219022912,0.001948002948073905,1.6235185546172843,0.0096326950601196
gamma,False,0.0018255514441070193,0.04272647240420182,0.01668869638700898,1.8064193657507364,0.5742792908746921
