greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,2048,2.0855579698767894e-17,4.566790962893736e-09,2.3143927107627856e-09,9.342675794110632e-09,1.5820123714926914e-08,1.7494346138402506e-08
gamma,2048,2.389666204255745e-15,4.88842122188314e-08,3.7129669199843004e-08,7.751399292432736e-08,1.4641256645908647e-07,2.0666552513759484e-07
vega,2048,3.012511998562438e-18,1.7356589522606214e-09,1.5871640404946721e-09,2.4822358613008078e-09,3.5746639853728723e-09,3.795486064328557e-09
theta,2048,1.4364845887520036e-20,1.1985343502595174e-10,6.001162825135353e-11,2.1826603996411008e-10,4.349234725142813e-10,4.92222151926569e-10
rho,2048,1.0469124347886749e-14,1.0231873898698493e-07,7.863878680728536e-08,2.0173513220478332e-07,2.556217507984626e-07,2.6532415881019844e-07
