moneyness,tau,value,jac_moneyness,jac_tau,hess_moneyness__moneyness,hess_tau__tau,hess_moneyness__tau,delta,gamma,theta,rho
0.9,0.2,0.17675705980634057,0.13817914406707213,-0.021765670498713977,0.0,0.0,0.0,0.13817914406707213,0.0,0.021765670498713977,-0.13162699966583055
0.9,0.6000000000000001,0.17459405248062632,0.1790463080434151,-0.008776420230674676,0.0,0.0,0.0,0.1790463080434151,0.0,0.008776420230674676,0.012772468487975763
0.9,1.0,0.17845980517677568,0.14450140019145064,0.00141257923300661,0.0,0.0,0.0,0.14450140019145064,0.0,-0.00141257923300661,0.1069724750283775
0.9666666666666667,0.2,0.1902913956259791,0.22697447488246333,-0.012090857487885522,0.0,0.0,0.0,0.22697447488246333,0.0,0.012090857487885522,-0.043847503627306564
0.9666666666666667,0.6000000000000001,0.1856629631255444,0.17891712853829467,-0.007872528192538782,0.0,0.0,0.0,0.17891712853829467,0.0,0.007872528192538782,0.01634394560809877
0.9666666666666667,1.0,0.18978702803093203,0.16533885608398308,0.002026745561306424,0.0,0.0,0.0,0.16533885608398308,0.0,-0.002026745561306424,0.11520147821134223
1.0333333333333334,0.2,0.2061454454442037,0.24533936870058717,0.007545558771515238,0.0,0.0,0.0,0.24533936870058717,0.0,-0.007545558771515238,-0.0556143187729657
1.0333333333333334,0.6000000000000001,0.1975909704298552,0.18911741336796536,-0.02541690985383739,0.0,0.0,0.0,0.18911741336796536,0.0,0.02541690985383739,0.072890039498331
1.0333333333333334,1.0,0.1987698573338123,0.13394089042734064,0.003382450561358214,0.0,0.0,0.0,0.13394089042734064,0.0,-0.003382450561358214,0.10411979578140383
1.1,0.2,0.2223471169027955,0.21710265667795706,0.04548956990018333,0.0,0.0,0.0,0.21710265667795706,0.0,-0.04548956990018333,-0.03153869360928937
1.1,0.6000000000000001,0.20982511249234131,0.178349547220533,-0.028444964529324487,0.0,0.0,0.0,0.178349547220533,0.0,0.028444964529324487,0.0734255104814259
1.1,1.0,0.20748588480534536,0.11312299024379825,-0.0029350808912579356,0.0,0.0,0.0,0.11312299024379825,0.0,0.0029350808912579356,0.07458245269183329
