greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,2048,9.70429562671764e-10,3.115171845455342e-05,4.794825368334419e-06,9.603034127203534e-06,7.571812183813119e-05,0.0009960405109463721
gamma,2048,4.296031344808632e-05,0.006554411754542609,0.0006004185485308977,0.0005206058137544378,0.011823066806329614,0.22821255717030908
vega,2048,6.932141369141342e-11,8.325948215753772e-06,2.4524876637907367e-06,5.4352157769166325e-06,4.316757588380791e-05,6.719468332416767e-05
theta,2048,3.650797336577102e-15,6.042182831210176e-08,6.308075106818607e-09,1.0955350075725343e-08,6.25436503512778e-08,1.7019720784938741e-06
rho,2048,2.7035294037891864e-20,1.6442412851492284e-10,6.023440737050973e-11,2.5174597883745293e-10,8.474717398676555e-10,8.939115003769871e-10
