idx,tau,moneyness,log_moneyness,v,rho,kappa,gamma,bar_v,r,gamma_cf,h_x,gamma_fd,error
0,0.012271118773918656,0.9764850662348241,-0.023795821936646883,0.41011869407771606,-0.5612764738672564,0.1667037507206337,0.5941508600964428,0.0642084391054796,0.013905667843574394,5.594605193989537,0.0005,5.594583171649088,-2.2022340449012745e-05
0,0.012271118773918656,0.9764850662348241,-0.023795821936646883,0.41011869407771606,-0.5612764738672564,0.1667037507206337,0.5941508600964428,0.0642084391054796,0.013905667843574394,5.594605193989537,0.001,5.594517103006132,-8.809098340467614e-05
0,0.012271118773918656,0.9764850662348241,-0.023795821936646883,0.41011869407771606,-0.5612764738672564,0.1667037507206337,0.5941508600964428,0.0642084391054796,0.013905667843574394,5.594605193989537,0.002,5.594252849816796,-0.0003523441727413257
0,0.012271118773918656,0.9764850662348241,-0.023795821936646883,0.41011869407771606,-0.5612764738672564,0.1667037507206337,0.5941508600964428,0.0642084391054796,0.013905667843574394,5.594605193989537,0.005,5.592403938457868,-0.002201255531669055
1,0.0015293952761249953,1.005272525427346,0.005258674330662721,0.06158625912852123,-0.012031609568110169,0.8418343084009677,0.6426885577642394,0.3138731504478652,0.0101044050822739,39.244934722183416,0.0005,39.23615265907758,-0.008782063105833515
1,0.0015293952761249953,1.005272525427346,0.005258674330662721,0.06158625912852123,-0.012031609568110169,0.8418343084009677,0.6426885577642394,0.3138731504478652,0.0101044050822739,39.244934722183416,0.001,39.20983030480725,-0.035104417376167873
1,0.0015293952761249953,1.005272525427346,0.005258674330662721,0.06158625912852123,-0.012031609568110169,0.8418343084009677,0.6426885577642394,0.3138731504478652,0.0101044050822739,39.244934722183416,0.002,39.10489757223815,-0.14003714994526462
1,0.0015293952761249953,1.005272525427346,0.005258674330662721,0.06158625912852123,-0.012031609568110169,0.8418343084009677,0.6426885577642394,0.3138731504478652,0.0101044050822739,39.244934722183416,0.005,38.38610830467796,-0.8588264175054547
2,0.02076490897252292,0.9804296138610086,-0.019764421887786876,0.0426138399080373,-0.2540157875967209,1.0023901215046376,0.048681330760390606,0.12840306528215203,0.009288306743554358,11.09827568566027,0.0005,11.098124679052964,-0.00015100660730560378
2,0.02076490897252292,0.9804296138610086,-0.019764421887786876,0.0426138399080373,-0.2540157875967209,1.0023901215046376,0.048681330760390606,0.12840306528215203,0.009288306743554358,11.09827568566027,0.001,11.097671681441664,-0.0006040042186050698
