greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,2048,8.084806426773511e-16,2.843379402537324e-08,1.3634329109495609e-08,3.007473863836374e-08,1.2219024193682586e-07,4.4103437024656245e-07
gamma,2048,1.1540360345902693e-13,3.397110587823525e-07,1.0701964911788603e-07,1.7637015294891254e-07,1.1331149877769059e-06,7.224538927985691e-06
vega,2048,8.422808176826687e-18,2.9022074661930507e-09,1.771124686487854e-09,4.51143645358032e-09,1.1406549451642434e-08,1.4496673292341278e-08
theta,2048,3.639097691424791e-17,6.032493424302086e-09,1.2869314942333202e-09,1.67742817379357e-09,3.6890408737083596e-08,9.633000438991068e-08
rho,2048,1.0972185377216079e-14,1.0474819987577868e-07,8.548585641150668e-08,1.8076865335066304e-07,2.461823852022843e-07,2.7467595398178446e-07
