parameter,theta_true,theta_hat,abs_error,rel_error
rho,-0.45,-0.45806073526097923,0.008060735260979224,0.017912745024398276
kappa,1.0,1.0006802455416737,0.0006802455416736741,0.0006802455416736741
gamma,0.35,0.34341507824374545,0.006584921756254525,0.018814062160727216
bar_v,0.2,0.1999000349105437,9.996508945631088e-05,0.0004998254472815544
v0,0.22,0.21981455546770431,0.00018544453229568658,0.0008429296922531208
