greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,2048,2.3096577297560402e-17,4.80588985491349e-09,3.723156771302044e-09,6.909291802581482e-09,1.6585647405475966e-08,2.766480877713917e-08
gamma,2048,1.469469453407872e-15,3.833365953581619e-08,3.068837516648459e-08,6.31587430355296e-08,9.89578487520237e-08,1.4980461804370293e-07
vega,2048,8.219712482619271e-18,2.867004095326561e-09,2.016902970186296e-09,5.328195640252885e-09,7.01685053561274e-09,7.496616827307179e-09
theta,2048,4.687720700028775e-19,6.846693143429735e-10,2.0518469788121838e-10,4.255960264765157e-10,3.9713800538410115e-09,7.67102847215595e-09
rho,2048,5.0957420432520465e-14,2.2573750338063117e-07,2.2417642932819854e-07,2.5810261250480693e-07,2.7103375980663815e-07,2.809804260373028e-07
