parameter,theta_true,theta_hat,abs_error,rel_error
rho,-0.45,-0.6151052186839323,0.1651052186839323,0.366900485964294
kappa,1.0,1.0449602149913617,0.04496021499136171,0.04496021499136171
gamma,0.35,0.24637051556638992,0.10362948443361006,0.2960842412388859
bar_v,0.2,0.19556860446513225,0.004431395534867766,0.02215697767433883
v0,0.22,0.21889915236854401,0.0011008476314559867,0.005003852870254485
