epoch,optimizer,lr,train_total,train_pde,train_term,train_low,train_no_arbitrage,val_total,val_pde,val_term,val_low,val_no_arbitrage
1,adam,0.001,2.5466367565095425,2.015876523219049,2.0472537546453362e-10,0.5307602090761065,0.0,2.33219838142395,2.1884992122650146,5.992242257946145e-10,0.1436992734670639,0.0
2,adam,0.001,1.579029561020434,1.5210816264152527,2.378862163425531e-10,0.057947925641201437,0.0,2.112722873687744,2.0904388427734375,5.992242257946145e-10,0.02228405885398388,0.0
3,adam,0.001,1.5263660345226526,1.5172024574130774,2.0472612650763922e-10,0.009163589493255131,0.0,2.0913469791412354,2.0864150524139404,5.992242257946145e-10,0.004932031966745853,0.0
4,adam,0.001,1.457753013819456,1.4547891411930323,2.0472536963154214e-10,0.0029638701089425012,0.0,2.088371515274048,2.0868008136749268,5.992242257946145e-10,0.0015708061400800943,0.0
5,adam,0.001,1.5235607246868312,1.5212232451885939,2.086883131173279e-10,0.002337472658837214,0.0,2.0897767543792725,2.086644172668457,5.992242257946145e-10,0.003132522339001298,0.0
6,adam,0.001,1.4994249562732875,1.49778880586382,2.2206886174783732e-10,0.0016361503658117726,0.0,2.0869522094726562,2.0857808589935303,5.992242257946145e-10,0.0011712873820215464,0.0
7,adam,0.001,1.5336455088108778,1.5318321902304888,2.0472544629452386e-10,0.0018133260564354714,0.0,2.088791608810425,2.08760404586792,5.992242257946145e-10,0.0011875255731865764,0.0
8,adam,0.001,1.501239685807377,1.499459407525137,2.0472576707828057e-10,0.001780274134944193,0.0,2.088628053665161,2.0864925384521484,5.992242257946145e-10,0.0021356064826250076,0.0
9,adam,0.001,1.456276722252369,1.454578448086977,2.0511553713370233e-10,0.001698282103461679,0.0,2.0872087478637695,2.086723804473877,5.992242257946145e-10,0.0004848470271099359,0.0
10,adam,0.001,1.5587230175733566,1.5574540132656693,2.2640495942696622e-10,0.0012690004950854927,0.0,2.0904576778411865,2.088435649871826,5.992242257946145e-10,0.002022103639319539,0.0
11,adam,0.001,1.4573959328699857,1.4542069913586602,2.0472538789416806e-10,0.003188950664480217,0.0,2.099862813949585,2.0953209400177,5.992242257946145e-10,0.004541907925158739,0.0
12,adam,0.001,1.4522510450333357,1.4489421267062426,2.0868607348529418e-10,0.003308931231003953,0.0,2.086832046508789,2.08516263961792,5.992242257946145e-10,0.0016694343648850918,0.0
13,adam,0.001,1.4676735140383244,1.4661342613399029,2.137209487033653e-10,0.001539273656817386,0.0,2.0860755443573,2.0853168964385986,5.992242257946145e-10,0.0007585807470604777,0.0
14,adam,0.001,1.4597211703658104,1.458143599331379,2.0487762692298677e-10,0.0015775781284901313,0.0,2.089522123336792,2.086858034133911,5.992242257946145e-10,0.0026639727875590324,0.0
15,adam,0.001,1.4453841177746654,1.443566286470741,2.1719734499003216e-10,0.0018178255122620612,0.0,2.0862128734588623,2.084697961807251,5.992242257946145e-10,0.0015150030376389623,0.0
16,adam,0.001,1.4859755882062018,1.483031832613051,2.0473540426559096e-10,0.0029437554767355323,0.0,2.0910086631774902,2.088184356689453,5.992242257946145e-10,0.002824407769367099,0.0
17,adam,0.001,1.537441749125719,1.5343915112316608,2.0587890005927719e-10,0.003050253406399861,0.0,2.0933125019073486,2.0899529457092285,5.992242257946145e-10,0.003359472844749689,0.0
18,adam,0.001,1.443952129688114,1.441021283622831,2.0472639572914042e-10,0.0029308605298865587,0.0,2.087843656539917,2.0853776931762695,5.992242257946145e-10,0.0024658660404384136,0.0
19,adam,0.001,1.4605202106758952,1.4572571273893118,2.2688580916128268e-10,0.0032630799687467515,0.0,2.0939972400665283,2.089426040649414,5.992242257946145e-10,0.004571100231260061,0.0
20,adam,0.001,1.474783874116838,1.4713248237967491,2.047596648806495e-10,0.003459045408817474,0.0,2.0849173069000244,2.082930326461792,5.992242257946145e-10,0.0019869618117809296,0.0
21,adam,0.001,1.4520299322903156,1.4498498849570751,2.1180148377036906e-10,0.002180060102546122,0.0,2.086103677749634,2.0841596126556396,5.992242257946145e-10,0.001944072893820703,0.0
22,adam,0.001,1.4725358970463276,1.4697732627391815,2.0898519866850457e-10,0.002762617586995475,0.0,2.084338903427124,2.081843852996826,5.992242257946145e-10,0.0024951002560555935,0.0
23,adam,0.001,1.4993195906281471,1.4970022551715374,2.0472751622386063e-10,0.002317325306648854,0.0,2.08477520942688,2.081760883331299,5.992242257946145e-10,0.0030143768526613712,0.0
24,adam,0.001,1.505333703942597,1.501586513593793,2.0477484293741882e-10,0.0037471704417839646,0.0,2.08648681640625,2.0839455127716064,5.992242257946145e-10,0.002541235415264964,0.0
25,adam,0.001,1.462448881007731,1.458566639572382,2.088528219651391e-10,0.003882269171299413,0.0,2.088568687438965,2.08630633354187,5.992242257946145e-10,0.0022624379489570856,0.0
26,adam,0.001,1.4904149640351534,1.4878462813794613,2.227425501643554e-10,0.0025687031884444878,0.0,2.085209608078003,2.0804941654205322,5.992242257946145e-10,0.004715407732874155,0.0
27,adam,0.001,1.4662143299356103,1.46279685664922,2.0522566247653142e-10,0.0034174801185145043,0.0,2.084737777709961,2.0814919471740723,5.992242257946145e-10,0.003245790721848607,0.0
28,adam,0.001,1.463905407115817,1.4617382753640413,2.2207286846032324e-10,0.0021671360300388187,0.0,2.085007429122925,2.0818896293640137,5.992242257946145e-10,0.0031178013887256384,0.0
29,adam,0.001,1.513751513324678,1.5121052581816912,2.0472537053128304e-10,0.0016462457751913462,0.0,2.0905845165252686,2.084584951400757,5.992242257946145e-10,0.005999501794576645,0.0
30,adam,0.001,1.50166829302907,1.4955149381421506,2.0473256045916693e-10,0.0061533698317361996,0.0,2.0948479175567627,2.0887067317962646,5.992242257946145e-10,0.006141199264675379,0.0
31,adam,0.001,1.491478277835995,1.4859927762299776,2.047253757690337e-10,0.0054855029011378065,0.0,2.084716796875,2.0820364952087402,5.992242257946145e-10,0.002680201083421707,0.0
32,adam,0.001,1.4727596044540405,1.468374203890562,2.2640498176738245e-10,0.004385388325317763,0.0,2.085280418395996,2.0817363262176514,5.992242257946145e-10,0.0035441815853118896,0.0
33,adam,0.001,1.517819125438109,1.5146317458711565,2.155543849215466e-10,0.0031873884654487483,0.0,2.085228681564331,2.0835120677948,5.992242257946145e-10,0.0017165131866931915,0.0
34,adam,0.001,1.4894488602876663,1.4861469734460115,2.1608722792880188e-10,0.0033018988033290952,0.0,2.086036205291748,2.081634521484375,5.992242257946145e-10,0.004401663783937693,0.0
35,adam,0.001,1.5011673048138618,1.4990175440907478,2.201846403380273e-10,0.0021497641064343043,0.0,2.081754207611084,2.080324411392212,5.992242257946145e-10,0.0014297545421868563,0.0
36,adam,0.001,1.4854607544839382,1.4803529772907495,2.0608792170832142e-10,0.005107792610942852,0.0,2.083404779434204,2.080594539642334,5.992242257946145e-10,0.002810286357998848,0.0
37,adam,0.001,1.4430756946094334,1.4378300714306533,2.0484887738560732e-10,0.005245610802376177,0.0,2.083491086959839,2.0809614658355713,5.992242257946145e-10,0.002529626013711095,0.0
38,adam,0.001,1.4734659949317575,1.4697728529572487,2.0472829921080213e-10,0.0036931345239281654,0.0,2.0813374519348145,2.079383373260498,5.992242257946145e-10,0.0019540933426469564,0.0
