greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,2048,1.2623693086254009e-09,3.5529836878677067e-05,4.31788119189408e-06,9.386035968730886e-06,5.236306798773943e-05,0.0013459063580398833
gamma,2048,2.3020175113527686e-05,0.00479793446323808,0.00039645370377905896,0.0004170004766351098,0.003529162007859754,0.15766967694753475
vega,2048,3.5370995765562936e-10,1.8807178354437686e-05,5.487829246691308e-06,1.1916895916974644e-05,0.00010547113065305417,0.0001518004711751758
theta,2048,1.6340417299210395e-14,1.2782964170805765e-07,9.647462433041925e-09,1.0668426009274867e-08,8.41605928048048e-08,4.384240882567003e-06
rho,2048,7.427086035962133e-21,8.618054325636461e-11,3.6335840453260573e-11,1.1048545620062632e-10,4.0933279397969946e-10,4.92197532730998e-10
