variant,label,full_rmse,non_hard_rmse,hard_rmse,short_rmse,atm_rmse,best_val_total,loss_log_var_pde,loss_log_var_clamped_pde,loss_weight_pde,loss_log_var_no_arbitrage,loss_log_var_clamped_no_arbitrage,loss_weight_no_arbitrage,full_rmse_vs_hist_pct,non_hard_rmse_vs_hist_pct,hard_rmse_vs_hist_pct,short_rmse_vs_hist_pct,atm_rmse_vs_hist_pct
historical_baseline,PINN_mix_scaled_param,0.0042694491850294,0.00426720807642,0.0047803558736959,0.0022509044109191,0.0056154137073726,1.601422809471842e-05,,,,,,,0.0,0.0,0.0,0.0,0.0
warm00_identity,identity,0.0108804682806722,0.0108894475006161,0.0084346250888608,0.0043871265449556,0.0121531463760749,3.592014400055632e-05,,,,,,,154.84477760794047,155.18904411504272,76.44345550239602,94.90505788134409,116.42477312257094
warm01_w_pde025_term2_low2,pde=.25 term=2 low=2,0.0136697206214494,0.0136921045388369,0.0062325267924385,0.0034144515758447,0.0148589451405792,2.6776206141221337e-05,,,,,,,220.1752738826723,220.8679842564409,30.37788309303975,51.69242902014193,164.60998093641015
warm02_w_pde050_term2_low2,pde=.5 term=2 low=2,0.0132691539430159,0.0132902651750772,0.0063689320204942,0.003351328646368,0.014496341138199,3.428218769840896e-05,,,,,,,210.79311096015604,211.45106910809815,33.231336510729335,48.88809272000891,158.15268284091758
warm03_w_pde025_term5_low2,pde=.25 term=5 low=2,0.0160309514693379,0.0160596718539723,0.0058524589187656,0.003208499243695,0.0174686308754798,4.067272675456479e-05,,,,,,,275.48055438976985,276.3508028285712,22.427264274799906,42.54266987663373,211.08359572055838
warm04_w_pde050_term5_low5,pde=.5 term=5 low=5,0.013440988502322,0.0134621050082205,0.0065852328494901,0.0037550991635619,0.0146729233313456,4.540991358226165e-05,,,,,,,214.81785869362545,215.4780542015334,37.75612158344961,66.8262386152862,161.2972809479949
warm05_log_pde_guarded,log PDE,0.0110007427934112,0.0110036743101902,0.0102677571720532,0.006314779601471,0.0121521927976353,-0.045267898589372635,-0.04758930951356888,-0.04758930951356888,1.048739859385638,,,,157.6618743229157,157.8658952909978,114.7906441140072,180.54410355402518,116.40779167669196
warm06_log_pde_noarb_guarded,log PDE+noarb,0.0107953552603496,0.0107982980127641,0.0100589547400501,0.0061463489473972,0.0119498952979175,-0.09059205651283264,-0.04758931323885918,-0.04758931323885918,1.0487398632924985,-0.04758942127227783,-0.04758942127227783,1.0487399765914571,152.8512412843078,153.0529990424886,110.4227175930541,173.061304495267,112.80525212645007
