greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,2048,5.637263610596937e-16,2.374292233613406e-08,1.2184166719240364e-08,2.635447224896836e-08,1.0374697124060357e-07,3.7510326411638317e-07
gamma,2048,5.141666873102458e-14,2.2675243930556642e-07,9.710158707089012e-08,1.6538423087686381e-07,7.971129438377741e-07,4.294478156197101e-06
vega,2048,1.0145426140604378e-17,3.185188556522891e-09,2.590297499924587e-09,5.345382339538851e-09,8.408690962413699e-09,9.326529271103112e-09
theta,2048,1.417003348444136e-15,3.764310492565851e-08,5.686061726628006e-09,1.2414385207326626e-09,1.214304174499553e-07,6.966637731420366e-07
rho,2048,1.0613366171390523e-14,1.0302119282647878e-07,8.557907774332533e-08,1.7249493116100466e-07,2.4118715298726555e-07,3.001997954665825e-07
