greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,2048,3.421084488621844e-16,1.849617389792236e-08,1.4069093206447352e-08,2.973874270451038e-08,5.795364875771369e-08,8.38416971404854e-08
gamma,2048,1.9336012850934655e-14,1.390539925745919e-07,8.85407921491293e-08,2.0721067757190067e-07,5.263748159922697e-07,8.869391630028645e-07
vega,2048,5.3903141691932975e-18,2.3217050133885004e-09,1.706692245157948e-09,3.988336738647291e-09,6.646429465406721e-09,6.984119643727027e-09
theta,2048,3.382419877797726e-18,1.8391356333336935e-09,5.452598477082401e-10,1.0568461851099755e-09,9.749235597225624e-09,1.7717073891310164e-08
rho,2048,1.3045369597480807e-14,1.1421632806862951e-07,7.853854969362018e-08,2.0149923489753972e-07,3.650295771517875e-07,4.135827604834219e-07
