greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,2048,5.175442415071483e-16,2.2749598710903635e-08,1.2388106073914562e-08,2.6558786769825812e-08,9.406445209692026e-08,3.341740183460118e-07
gamma,2048,4.3160684759782425e-14,2.0775149761140693e-07,9.487821200167213e-08,1.766479553300115e-07,7.564802293380522e-07,3.818307748204575e-06
vega,2048,1.3273299507112733e-17,3.6432539723594255e-09,2.9712403077045483e-09,6.193788770758602e-09,9.155960318529832e-09,1.0059467731027283e-08
theta,2048,1.0717479514553972e-15,3.2737561782383813e-08,4.9206250604618845e-09,1.2134606902636235e-09,1.0282155760044096e-07,7.096168609388442e-07
rho,2048,1.081352291767117e-14,1.0398809026841088e-07,8.91160076422074e-08,1.700458632014623e-07,2.3812377945908735e-07,2.5838589934323863e-07
