tau,moneyness,v,rho,kappa,gamma,bar_v,r,price_pred,price_ref,price_error,delta_pred,delta_ref,delta_error,gamma_pred,gamma_ref,gamma_error,vega_pred,vega_ref,vega_error,theta_pred,theta_ref,theta_error,rho_pred,rho_ref,rho_error
0.05,0.8,0.21971117661996578,-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.01,0.19974953417666103,0.19992155029574155,-0.00017201611908052028,-0.9844718516573694,-0.9841263683077565,-0.0003454833496129295,0.5233304022872419,0.513551521154767,0.009778881132474937,0.009182172297817684,0.007375097273603276,0.0018070750242144083,-0.02290109801555478,-0.020833534888466954,-0.002067563127087828,-0.043925394029082986,-0.04936113224709735,0.005435738218014366
0.06218750000000001,0.8,0.21971117661996578,-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.01,0.20010562284255426,0.20026139076550054,-0.00015576792294627606,-0.9722228338070342,-0.9720174496782623,-0.0002053841287719127,0.7412394960075946,0.744549822463263,-0.003310326455668311,0.014732017213173012,0.01320599590955901,0.0015260213036140027,-0.03526568430895314,-0.03462775982478164,-0.0006379244841714996,-0.054817742956168904,-0.060811623359723135,0.005993880403554232
0.074375,0.8,0.21971117661996578,-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.01,0.20060253926097768,0.2007567664251929,-0.00015422716421523153,-0.9588627667916584,-0.9585927992782888,-0.00026996751336960667,0.9335322022173778,0.9405187359029661,-0.006986533685588325,0.020968862648982838,0.01981244721157699,0.0011564154374058486,-0.04600615292014863,-0.046281286750700375,0.0002751338305517423,-0.06588957296635659,-0.07196755605993191,0.006077983093575323
0.0865625,0.8,0.21971117661996578,-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.01,0.20122030635545712,0.20138037663982844,-0.00016007028437131643,-0.9449568571562648,-0.9447214665976573,-0.00023539055860744007,1.095057216715021,1.0997005342293527,-0.0046433175143316685,0.02765977034998712,0.02677479346668782,0.0008849768832993009,-0.0550947308323081,-0.05570029569574895,0.0006055648634408495,-0.07706652661588784,-0.0828539504147729,0.005787423798885069
0.09875,0.8,0.21971117661996578,-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.01,0.2019388010094338,0.20210648966588995,-0.00016768865645616637,-0.930995782738105,-0.9309123893118377,-8.339342626728641e-05,1.2248706318445004,1.2264966242905935,-0.001625992446093072,0.034580366086211525,0.03383080795269755,0.000749558133513975,-0.06254369530657436,-0.06315879082953767,0.0006150955229633076,-0.0882689613130377,-0.09350009461014182,0.005231133297104118
0.11093750000000001,0.8,0.21971117661996578,-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.01,0.20273851145651167,0.20291331592164763,-0.00017480446513595815,-0.9173509743080245,-0.9174471055802063,9.613127218177642e-05,1.325852459546858,1.3265414771493838,-0.000689017602525821,0.04153425808445399,0.04082290410086553,0.0007113539835884586,-0.06844570383219829,-0.06900226830287279,0.0005565644706744949,-0.09941956164092271,-0.10393412660530106,0.004514564964378354
0.123125,0.8,0.21971117661996578,-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.01,0.20360161904624638,0.20378315785905676,-0.00018153881281038342,-0.9042536840934727,-0.9044713587777655,0.00021767468429279013,1.403383765336337,1.405045066460577,-0.0016613011242399,0.04836851732438789,0.04765908713837236,0.0007094301860155333,-0.07298497163391134,-0.07354861516667302,0.0005636435327616846,-0.1104490159316596,-0.11418123015100627,0.0037322142193466773
0.1353125,0.8,0.21971117661996578,-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.01,0.20451301252022075,0.20470187794074923,-0.00018886542052848343,-0.8918027188042601,-0.8920514717126173,0.0002487529083572415,1.4635608163071658,1.4663641999839374,-0.002803383676771576,0.054981383029119466,0.054287801485561615,0.0006935815435578502,-0.0764154980293124,-0.0770629173788854,0.0006474193495730057,-0.12129984666609937,-0.12426329467174849,0.0029634480056491136
0.14750000000000002,0.8,0.21971117661996578,-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.01,0.20546087605947033,0.2056582434606119,-0.00019736740114156825,-0.879996996966174,-0.8802079118309654,0.00021091486479141164,1.5115720775749646,1.5139998571394013,-0.0024277795644367384,0.06132064176721409,0.06068233964365455,0.0006383021235595449,-0.07901531437135681,-0.07975775383660516,0.0007424394652483512,-0.13192884125928386,-0.1341991245064942,0.0022702832472103474
0.1596875,0.8,0.21971117661996578,-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.01,0.20643666150964515,0.2066433306911336,-0.0002066691814884558,-0.8687811529756575,-0.8689351286308986,0.000153975655241112,1.5507623551359373,1.5507204693039043,4.188583203301732e-05,0.06737397165123736,0.06683124742875668,0.0005427242224806811,-0.08103449269919019,-0.08180093381368371,0.0007664411144935185,-0.1423085363667254,-0.14400481955233768,0.0016962831856122684
0.171875,0.8,0.21971117661996578,-0.5241299828927267,1.0576232226342916,0.29956827744543396,0.19758448825937408,0.01,0.2074344870368781,0.20765003315255803,-0.000215546115679921,-0.8580890397207488,-0.8582132863104721,0.00012424658972332026,1.5825875054285796,1.5787040654681945,0.0038834399603850933,0.07315477114173298,0.07273239599334597,0.0004223751483870136,-0.08265581332987403,-0.08332426926281551,0.0006684559329414863,-0.15242792930745575,-0.15369417631578577,0.0012662470083300292
