parameter,theta_true,theta_hat,abs_error,rel_error
rho,-0.45,-0.4580521656046723,0.008052165604672312,0.017893701343716248
kappa,1.0,1.0008479100720014,0.0008479100720013566,0.0008479100720013566
gamma,0.35,0.34342840240528694,0.006571597594713041,0.018775993127751547
bar_v,0.2,0.19989821428766616,0.0001017857123338517,0.0005089285616692585
v0,0.22,0.21981678356626227,0.00018321643373772623,0.0008328019715351192
