greek,n_points,mse,rmse,mae,p90_abs_error,p99_abs_error,max_abs_error
delta,2048,3.7858000357110625e-18,1.9457132460131587e-09,1.7956350193640974e-09,2.9205524443298715e-09,3.7559547383381185e-09,4.142580056765155e-09
gamma,2048,6.803859892904499e-14,2.60842095776439e-07,2.1079025639984865e-07,4.3497424023208884e-07,6.333194786023454e-07,8.918434180604784e-07
vega,2048,5.0753216712431834e-20,2.2528474584940684e-10,2.1942806619835217e-10,2.8585994682472915e-10,3.0076400037160054e-10,3.0955538132815263e-10
theta,2048,1.0089485149181712e-18,1.0044642925052992e-09,9.487366852962802e-10,1.3890103733871228e-09,1.4592417429959426e-09,1.4818926086235251e-09
rho,2048,3.846977897546828e-21,6.202401065351086e-11,6.065308997237062e-11,7.75756070492406e-11,8.832051867635471e-11,1.0025968943949692e-10
