epoch,optimizer,lr,train_total,train_pde,train_dpde,train_greek_delta,train_greek_gamma,train_greek_vega,train_term,train_low,train_right,train_v_zero,train_no_arbitrage,train_curvature_bulk,val_total,val_pde,val_dpde,val_greek_delta,val_greek_gamma,val_greek_vega,val_term,val_low,val_right,val_v_zero,val_no_arbitrage,val_curvature_bulk
1,adam,0.001,12384504.519042969,47435.651206970215,0.0,0.0,0.0,0.0,14.949599483050406,5.967425378039479,0.0,0.0,12337047.599235535,0.0,302736.6875,4599.28369140625,0.0,0.0,0.0,0.0,21.537607192993164,7.675466537475586,0.0,0.0,298108.1875,0.0
2,adam,0.001,592396.5744018555,169354.2691116333,0.0,0.0,0.0,0.0,19.376869320869446,8.64455184340477,0.0,0.0,423014.2749633789,0.0,241666.03125,3512.010498046875,0.0,0.0,0.0,0.0,15.724824905395508,10.39013385772705,0.0,0.0,238127.90625,0.0
3,adam,0.001,292584.0610656738,108115.88334274292,0.0,0.0,0.0,0.0,12.143397688865662,12.419531166553497,0.0,0.0,184443.62057495117,0.0,157319.75,1886.7451171875,0.0,0.0,0.0,0.0,7.888146877288818,15.392480850219727,0.0,0.0,155409.71875,0.0
4,adam,0.001,98216.61232757568,66351.6204957962,0.0,0.0,0.0,0.0,5.3791166096925735,17.661120116710663,0.0,0.0,31841.949546813965,0.0,116947.953125,914.3790893554688,0.0,0.0,0.0,0.0,3.48612117767334,19.827560424804688,0.0,0.0,116010.2578125,0.0
5,adam,0.001,30782.91752052307,26670.19922375679,0.0,0.0,0.0,0.0,1.8457117974758148,22.468762040138245,0.0,0.0,4088.406038761139,0.0,91797.8203125,238.28651428222656,0.0,0.0,0.0,0.0,0.8399859666824341,24.69821548461914,0.0,0.0,91533.9921875,0.0
6,adam,0.001,12976.294753074646,8152.716726064682,0.0,0.0,0.0,0.0,0.5997782051563263,25.298462510108948,0.0,0.0,4797.6796288490295,0.0,85791.6953125,133.84588623046875,0.0,0.0,0.0,0.0,0.4906308948993683,25.632017135620117,0.0,0.0,85631.7265625,0.0
7,adam,0.001,8489.590953826904,5873.21525645256,0.0,0.0,0.0,0.0,0.43261249735951424,25.579007148742676,0.0,0.0,2590.3640551567078,0.0,83521.578125,109.21998596191406,0.0,0.0,0.0,0.0,0.4300650358200073,25.476947784423828,0.0,0.0,83386.453125,0.0
8,adam,0.001,5983.731534957886,4610.524848937988,0.0,0.0,0.0,0.0,0.38722812943160534,25.426263570785522,0.0,0.0,1347.3933053016663,0.0,81248.6328125,83.78358459472656,0.0,0.0,0.0,0.0,0.3623966872692108,25.548677444458008,0.0,0.0,81138.9375,0.0
9,adam,0.001,4736.61848449707,3032.16362452507,0.0,0.0,0.0,0.0,0.32247716933488846,25.576916217803955,0.0,0.0,1678.5554304122925,0.0,79293.2890625,60.55279541015625,0.0,0.0,0.0,0.0,0.3095009922981262,25.699951171875,0.0,0.0,79206.7265625,0.0
10,adam,0.001,3245.411971092224,1907.2093460559845,0.0,0.0,0.0,0.0,0.2726858500391245,25.788233160972595,0.0,0.0,1312.1415820121765,0.0,77204.9375,40.58726119995117,0.0,0.0,0.0,0.0,0.2680966854095459,25.878293991088867,0.0,0.0,77138.203125,0.0
11,adam,0.001,3166.5069608688354,1758.6667038202286,0.0,0.0,0.0,0.0,0.24807837326079607,25.887896060943604,0.0,0.0,1381.7042169570923,0.0,75898.8359375,32.371070861816406,0.0,0.0,0.0,0.0,0.2589760720729828,25.807401657104492,0.0,0.0,75840.3984375,0.0
12,adam,0.001,2020.8525257110596,771.182580947876,0.0,0.0,0.0,0.0,0.24089492205530405,25.864250898361206,0.0,0.0,1223.56485080719,0.0,74192.890625,21.395723342895508,0.0,0.0,0.0,0.0,0.24591663479804993,25.916963577270508,0.0,0.0,74145.328125,0.0
13,adam,0.001,1689.05606174469,473.91691797971725,0.0,0.0,0.0,0.0,0.23904042411595583,25.892354607582092,0.0,0.0,1189.0077724456787,0.0,73040.390625,16.2596492767334,0.0,0.0,0.0,0.0,0.24884629249572754,25.870515823364258,0.0,0.0,72998.0078125,0.0
14,adam,0.001,1506.0825123786926,347.5267127752304,0.0,0.0,0.0,0.0,0.2480069175362587,25.755472421646118,0.0,0.0,1132.552315235138,0.0,72567.3203125,14.255621910095215,0.0,0.0,0.0,0.0,0.25946950912475586,25.666786193847656,0.0,0.0,72527.140625,0.0
15,adam,0.001,1331.888885974884,232.9684982895851,0.0,0.0,0.0,0.0,0.259636796079576,25.611303091049194,0.0,0.0,1073.049479484558,0.0,71775.3125,11.79266357421875,0.0,0.0,0.0,0.0,0.2693546414375305,25.55547332763672,0.0,0.0,71737.6953125,0.0
16,adam,0.001,1288.1151194572449,196.38159447908401,0.0,0.0,0.0,0.0,0.2711189053952694,25.453355073928833,0.0,0.0,1066.0090780258179,0.0,71507.3125,10.966474533081055,0.0,0.0,0.0,0.0,0.28271791338920593,25.35597801208496,0.0,0.0,71470.7109375,0.0
17,adam,0.001,1156.7615246772766,107.56752240657806,0.0,0.0,0.0,0.0,0.28344839066267014,25.26315438747406,0.0,0.0,1023.647434592247,0.0,71092.6640625,9.709123611450195,0.0,0.0,0.0,0.0,0.29534122347831726,25.18036460876465,0.0,0.0,71057.4765625,0.0
18,adam,0.001,1127.7122807502747,83.80530312657356,0.0,0.0,0.0,0.0,0.2978679705411196,25.133750915527344,0.0,0.0,1018.4753603935242,0.0,70291.9453125,8.663153648376465,0.0,0.0,0.0,0.0,0.3091574013233185,25.069438934326172,0.0,0.0,70257.90625,0.0
19,adam,0.001,1077.6412982940674,51.25660356879234,0.0,0.0,0.0,0.0,0.3117035236209631,24.916864275932312,0.0,0.0,1001.1561059951782,0.0,70289.9375,8.350356101989746,0.0,0.0,0.0,0.0,0.323233425617218,24.788570404052734,0.0,0.0,70256.4765625,0.0
20,adam,0.001,1051.648027896881,41.0071907043457,0.0,0.0,0.0,0.0,0.32605865970253944,24.71168041229248,0.0,0.0,985.6031272411346,0.0,69937.59375,7.923913478851318,0.0,0.0,0.0,0.0,0.3382735848426819,24.626344680786133,0.0,0.0,69904.703125,0.0
